,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,1546,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1533,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,1516,17,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0
3,0,0,0,1527,4,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,13,0,0,1,1532,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,1544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1532,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1
7,0,0,0,0,0,0,13,1526,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1544,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,4,0,13,1091,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10,0,1,0,0,0,1,0,0,0,0,1539,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,1543,0,0,0,0,0,0,0,3,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,1541,3,0,0,0,0,1,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,1,0,0,0,302,1231,4,0,0,0,2,3,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1542,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1534,1,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1486,17,7,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1455,2,0,68,0,0,0,0,8
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1519,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1524,4,5,0,0,0
21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1487,49,0,0,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1532,0,0,0
23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,1503,0,2
24,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,1,0,0,3,3,1529,1
25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1108
